river_level,rainfall,humidity,soil_moisture,drainage_cap,temp,risk_score,risk_label
47.0883,106.6126,68.2852,0.5382,0.4498,32.9191,1,Medium
44.1997,34.373,56.0067,0.3699,0.2424,30.5284,0,Low
43.8893,14.5206,51.7566,0.1975,0.2593,31.3317,0,Low
53.2479,225.0509,100.0,0.8989,0.8083,25.6187,2,High
50.1838,75.8892,63.7977,0.5037,0.457,33.8268,1,Medium
51.3007,208.4583,87.6059,0.8767,0.7459,24.7836,2,High
48.678,30.7829,64.607,0.4178,0.312,32.7101,0,Low
54.9506,144.7137,80.8551,0.7404,0.5354,27.5416,2,High
47.0394,3.5985,63.6083,0.2653,0.2569,35.1516,0,Low
45.8893,19.0353,62.4099,0.3127,0.2104,36.0821,0,Low
50.2186,137.6963,77.0095,0.5952,0.6414,29.5268,1,Medium
46.1117,5.8981,61.9245,0.2506,0.1833,33.5228,0,Low
46.107,94.2806,74.2464,0.5156,0.4499,34.2966,1,Medium
55.2107,153.6535,81.765,0.7822,0.802,30.8904,2,High
52.9969,189.4367,89.7256,0.7845,0.7664,25.8562,2,High
52.2704,187.2251,83.0828,0.7624,0.7168,25.7242,2,High
50.389,114.0412,74.9618,0.558,0.4101,29.6261,1,Medium
45.5244,6.8148,54.325,0.232,0.1304,36.6881,0,Low
45.7317,49.4053,65.6921,0.3812,0.3682,27.8417,0,Low
50.8704,163.0804,79.6405,0.7829,0.6377,31.0958,2,High
46.1091,46.9754,71.8534,0.4397,0.3114,32.405,0,Low
50.2476,111.4786,68.2947,0.5436,0.4103,28.0923,1,Medium
50.4433,106.2563,72.4998,0.5966,0.5198,31.0334,1,Medium
49.6704,97.8873,71.0834,0.5627,0.4719,31.6471,1,Medium
47.535,46.6796,69.8892,0.4046,0.3646,34.8745,0,Low
44.0238,47.2681,60.2356,0.2946,0.3696,35.4026,0,Low
50.595,150.1278,81.0365,0.6505,0.6268,29.6867,2,High
48.0339,1.1052,60.548,0.3093,0.1129,35.9674,0,Low
45.5815,34.9671,69.5138,0.3177,0.1594,33.7299,0,Low
45.6311,57.7997,63.8175,0.397,0.3859,34.0181,0,Low
44.1186,2.4393,53.8045,0.1866,0.1693,33.6817,0,Low
49.7594,88.7208,74.7962,0.5034,0.5511,30.6674,1,Medium
47.7661,111.9648,68.701,0.4874,0.4719,27.3871,1,Medium
47.5047,107.3446,72.4145,0.5524,0.3595,34.0086,1,Medium
50.3217,158.6012,81.0111,0.6865,0.5345,27.3934,2,High
43.6651,5.7488,63.8836,0.2518,0.1345,36.9211,0,Low
48.2762,91.7705,65.1391,0.4949,0.5539,33.8467,1,Medium
51.2763,53.1261,65.9571,0.4767,0.4311,29.7838,1,Medium
49.7554,225.834,91.747,0.9472,0.7983,26.2397,2,High
48.5348,81.2991,67.0767,0.4657,0.3888,33.0609,1,Medium
52.4148,144.595,78.4552,0.7259,0.5116,28.1134,1,Medium
50.747,115.7676,80.6527,0.5745,0.4061,27.6346,1,Medium
45.4164,20.8083,60.3778,0.294,0.3081,37.1348,0,Low
47.6403,4.7006,58.8383,0.3185,0.2708,36.1084,0,Low
50.1858,164.029,87.3921,0.7291,0.6275,28.5215,2,High
45.7858,64.9781,68.0064,0.4466,0.4929,30.3088,0,Low
48.8613,95.6522,80.083,0.579,0.4954,29.1442,1,Medium
53.0364,184.3146,77.6121,0.8391,0.7352,27.9622,2,High
47.8888,28.1662,62.5763,0.4009,0.2918,32.9429,0,Low
48.8876,105.1683,78.605,0.5651,0.4055,31.2315,1,Medium
45.3532,10.2662,57.8406,0.2379,0.258,35.3353,0,Low
45.6512,18.0978,61.3618,0.3376,0.3041,33.3736,0,Low
50.3921,164.1904,89.3032,0.6993,0.655,31.8195,2,High
45.7132,8.0853,57.2585,0.3091,0.1306,33.1662,0,Low
44.4049,236.3733,95.5052,0.7402,0.871,23.6472,2,High
45.6336,11.6408,65.363,0.264,0.0765,35.374,0,Low
49.6129,144.5689,80.6228,0.6252,0.5225,30.1805,1,Medium
48.8302,103.7092,74.7193,0.5697,0.519,28.8486,1,Medium
49.6339,43.4479,60.9581,0.3885,0.2749,32.5756,0,Low
49.8886,140.8102,83.3686,0.6541,0.5086,26.2868,1,Medium
53.8477,218.4706,84.3142,0.8926,0.9016,25.1311,2,High
51.5723,82.6212,73.5232,0.5914,0.522,33.3009,1,Medium
45.96,17.1244,59.8054,0.3233,0.3059,31.7272,0,Low
52.6179,137.991,77.345,0.703,0.6101,27.2976,1,Medium
52.6801,173.66,83.3061,0.776,0.6826,26.3957,2,High
44.8864,90.8854,75.2214,0.4225,0.5302,33.6461,1,Medium
49.104,104.0685,82.3793,0.5112,0.562,32.8364,1,Medium
44.6763,6.4722,61.4628,0.269,0.1878,30.5461,0,Low
48.7818,140.5481,76.0766,0.5671,0.741,25.8044,1,Medium
45.4812,8.5168,53.9946,0.2701,0.1893,34.8361,0,Low
44.4851,9.4038,67.1163,0.2648,0.2252,31.4082,0,Low
55.1608,183.042,86.5027,0.7637,0.7925,30.0925,2,High
46.1888,48.3246,65.6074,0.3752,0.3352,28.6682,0,Low
55.1157,202.3113,88.6162,0.8802,0.7502,25.4038,2,High
45.2379,2.1006,64.1274,0.3569,0.238,35.3317,0,Low
43.6198,0.8969,58.0752,0.2266,0.1694,37.9111,0,Low
42.6121,26.6244,60.3974,0.3167,0.0991,33.9266,0,Low
48.9993,72.7879,63.6406,0.5007,0.466,32.7214,1,Medium
48.7862,122.711,71.7834,0.6079,0.4842,30.4465,1,Medium
46.4815,76.0032,68.9167,0.4903,0.3186,33.8412,0,Low
52.5324,140.3233,85.0186,0.6206,0.6512,30.0028,1,Medium
44.2114,46.3038,63.9401,0.3395,0.3209,34.6233,0,Low
52.0227,198.8284,89.1389,0.8397,0.7971,28.5619,2,High
51.822,168.3891,89.1971,0.7015,0.6384,30.4436,2,High
51.6101,238.8093,95.3421,0.9132,0.8673,21.1009,2,High
49.1077,107.7371,84.9517,0.5686,0.465,27.6481,1,Medium
49.8558,160.2389,82.7722,0.6925,0.5679,29.9437,2,High
43.4326,7.3678,60.2466,0.1945,0.2211,38.6326,0,Low
49.5495,235.8061,91.1044,0.8401,0.8403,26.2182,2,High
48.1622,31.614,74.3876,0.3511,0.3891,33.2199,0,Low
50.0153,62.6753,74.8718,0.4884,0.2154,34.4637,1,Medium
53.7147,218.9522,83.3565,0.9038,0.8916,28.8848,2,High
46.2411,9.4983,71.8802,0.2956,0.1805,35.9671,0,Low
47.1208,19.001,65.15,0.3099,0.1972,34.1687,0,Low
42.5449,17.3269,63.071,0.2076,0.2379,34.4059,0,Low
48.9836,31.3922,66.9863,0.3635,0.2096,34.2704,0,Low
50.2625,104.4608,69.8306,0.5315,0.4369,33.4722,1,Medium
49.6556,65.6435,70.1746,0.3196,0.3688,33.2158,1,Medium
50.4704,140.7629,78.1633,0.6626,0.5429,30.2372,1,Medium
50.3541,60.5876,66.6805,0.4562,0.3086,34.4881,1,Medium
47.5332,40.1057,70.4091,0.4401,0.2627,33.2968,0,Low
46.33,40.6472,64.3683,0.3962,0.3247,33.8895,0,Low
51.1995,125.1801,78.0234,0.6605,0.4642,33.9221,1,Medium
54.6716,128.8707,79.6806,0.647,0.6048,28.5736,2,High
53.4121,192.246,91.6325,0.8814,0.897,26.1697,2,High
48.101,95.3163,79.6844,0.5262,0.4487,29.469,1,Medium
49.2923,84.2536,71.8696,0.4924,0.4467,32.2613,1,Medium
46.0848,11.6819,59.7441,0.2494,0.2167,35.2838,0,Low
50.4237,126.9437,87.2911,0.5967,0.4675,26.0885,1,Medium
51.4112,178.9646,72.1534,0.7561,0.7069,29.7698,2,High
55.0766,111.6539,79.9685,0.6104,0.522,28.3698,2,High
48.5194,213.4766,89.1665,0.8108,0.8942,27.3612,2,High
50.3031,173.733,87.1751,0.7317,0.6843,28.3052,2,High
43.5984,31.4879,64.6125,0.3336,0.35,28.0735,0,Low
45.6886,78.4726,77.3936,0.4355,0.4176,27.127,0,Low
55.3676,148.865,82.9367,0.6643,0.5614,26.8022,2,High
42.3103,1.5396,53.1108,0.1928,0.078,37.2943,0,Low
49.4674,100.3901,66.7248,0.4951,0.4709,27.2367,1,Medium
44.9512,128.2394,76.8783,0.5217,0.5662,32.0942,1,Medium
47.5144,43.2938,69.0993,0.3384,0.2819,29.7358,0,Low
45.1709,12.7417,68.3199,0.3821,0.1958,30.1186,0,Low
47.0757,38.6731,62.0672,0.351,0.3811,34.0464,0,Low
47.3129,74.2332,59.3357,0.4927,0.3654,31.9612,0,Low
49.3559,73.2757,72.414,0.4695,0.3068,28.5496,1,Medium
47.321,88.7116,72.6314,0.4804,0.417,29.0475,1,Medium
49.6387,37.1378,65.9154,0.3785,0.2933,34.1246,0,Low
45.3038,10.0647,55.903,0.2383,0.1401,33.8553,0,Low
53.5068,169.3826,89.6775,0.7432,0.6553,29.4661,2,High
52.5529,140.2244,75.5498,0.7116,0.4753,28.7185,1,Medium
46.222,0.83,61.6565,0.2615,0.2098,36.9409,0,Low
52.2658,230.0432,93.5845,0.9706,0.7778,23.505,2,High
49.8538,127.6002,80.6134,0.6116,0.5119,31.0712,1,Medium
50.1539,162.9465,79.0895,0.6981,0.5879,25.9463,2,High
49.9331,140.782,75.0927,0.6574,0.6769,29.9839,1,Medium
47.8616,0.0532,64.2727,0.3173,0.174,36.277,0,Low
51.984,80.324,74.0085,0.5465,0.3656,29.6612,1,Medium
45.6398,8.1502,62.8164,0.3408,0.3649,35.43,0,Low
44.8007,18.6512,68.24,0.4152,0.3875,35.3814,0,Low
50.1654,96.784,75.2582,0.5942,0.5304,32.1282,1,Medium
49.2816,5.8148,58.9639,0.3406,0.2532,33.2746,0,Low
44.5869,86.5592,74.7082,0.346,0.3163,30.8104,1,Medium
48.6165,132.5338,80.8071,0.6853,0.6468,33.117,1,Medium
45.6032,20.4081,65.2349,0.3637,0.2755,32.414,0,Low
49.5841,106.6438,70.5148,0.645,0.4622,31.0147,1,Medium
54.8115,167.8965,78.6102,0.8326,0.6954,27.8709,2,High
47.9536,48.9247,71.2503,0.3582,0.2728,33.7182,0,Low
45.75,68.8428,68.896,0.3725,0.2429,35.0552,0,Low
46.594,7.8153,51.3781,0.2323,0.2809,33.5042,0,Low
53.3227,133.0054,71.764,0.691,0.4463,30.4104,2,High
47.7673,82.6698,64.9811,0.4488,0.5509,33.1107,1,Medium
46.6013,21.5124,68.3484,0.3627,0.2369,33.4763,0,Low
50.6622,115.1836,75.8838,0.5762,0.5349,28.6952,1,Medium
49.2342,63.6203,69.0836,0.4436,0.3977,32.6569,1,Medium
48.4465,9.3005,59.5358,0.331,0.1486,34.6736,0,Low
45.0317,3.3496,55.1751,0.229,0.1607,31.5902,0,Low
50.9199,96.3333,77.2856,0.5179,0.4409,29.5736,1,Medium
43.3094,34.051,68.0288,0.2105,0.189,35.0901,0,Low
43.9946,192.9465,83.49,0.7392,0.7803,26.3812,2,High
53.13,106.2008,81.8784,0.5737,0.3998,31.6749,2,High
44.37,5.1147,64.4407,0.2282,0.1926,32.6944,0,Low
54.1886,161.5135,78.3427,0.7497,0.5282,28.7902,2,High
54.4378,191.0982,85.3172,0.7398,0.7209,27.6033,2,High
49.6634,242.682,92.1357,0.9103,0.8703,25.891,2,High
53.9002,177.5905,86.4246,0.8728,0.8505,27.142,2,High
48.4382,117.0738,69.2472,0.6243,0.4784,30.6347,1,Medium
53.7026,145.4189,76.8334,0.7036,0.59,32.9736,2,High
49.1835,75.9366,74.6031,0.5414,0.3975,32.8014,1,Medium
49.7484,114.8985,68.1515,0.5039,0.5986,33.3487,1,Medium
47.1966,43.9164,65.1596,0.424,0.2747,32.8974,0,Low
45.6106,16.0446,56.1149,0.2554,0.2245,29.1771,0,Low
55.104,145.2894,84.9065,0.7912,0.6074,30.6912,2,High
46.9887,32.2307,66.2288,0.353,0.2598,37.6413,0,Low
52.9752,123.282,69.921,0.5983,0.5268,30.3448,1,Medium
48.9764,90.8494,67.5068,0.5337,0.5187,30.2246,1,Medium
42.8463,81.1166,71.4259,0.4073,0.4862,31.9332,1,Medium
48.4368,96.2106,61.9344,0.5382,0.3567,33.4844,1,Medium
42.8771,55.9732,62.3356,0.3072,0.3588,33.0339,0,Low
53.8433,117.1285,72.2781,0.598,0.6015,28.965,2,High
54.1395,212.2176,96.1347,0.9198,0.8242,24.5371,2,High
53.8371,163.9323,80.0672,0.7654,0.7404,29.8718,2,High
54.0949,248.8493,98.1358,1.0,0.8103,31.3092,2,High
50.3538,106.3844,72.5291,0.6068,0.5304,28.405,1,Medium
43.7778,3.3063,64.1856,0.2697,0.2749,36.1204,0,Low
44.0734,7.0874,53.2312,0.3287,0.1687,36.092,0,Low
50.0257,101.6547,70.6153,0.5728,0.385,28.6912,1,Medium
45.5011,35.5095,64.4247,0.2872,0.3371,35.1907,0,Low
42.4913,35.5147,65.8612,0.2538,0.2176,37.6513,0,Low
45.6358,38.6131,67.0248,0.332,0.2364,35.3658,0,Low
46.9118,43.8626,67.1043,0.3886,0.1727,32.5125,0,Low
50.6107,104.5614,77.1684,0.6475,0.4674,28.0946,1,Medium
46.0969,74.1112,70.3176,0.4315,0.3288,32.9312,0,Low
51.0053,132.0757,79.3608,0.7344,0.4583,29.4262,1,Medium
46.3523,6.3785,55.827,0.3682,0.1822,36.0599,0,Low
46.8114,24.1598,55.2921,0.3508,0.3365,33.4347,0,Low
50.9672,240.8047,88.1234,0.9423,0.8882,23.5386,2,High
49.4531,122.8822,68.7685,0.5824,0.4059,30.23,1,Medium
45.9435,45.69,67.5188,0.4521,0.3543,35.5018,0,Low
52.659,104.8802,79.3787,0.5778,0.534,32.4321,1,Medium
46.5082,11.5598,56.879,0.3546,0.2368,33.9744,0,Low
45.9077,20.5897,67.9251,0.2557,0.2154,31.8181,0,Low
45.4704,0.3268,62.3047,0.2842,0.1304,34.4065,0,Low
